Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
abalon,Catboost,0,"{'learning_rate': 0.08855551978887784, 'max_depth': 7, 'n_estimators': 75}",0.6770334928229665,0.6162405910168675,0.13376672020732386,0.6758071724050653,0.8431446655518515,0.8373475767773103,1.5038260000000037,0.010506220095672387
abalon,Catboost,1,"{'learning_rate': 0.052276661348666285, 'max_depth': 7, 'n_estimators': 150}",0.6339712918660287,0.5970745304078637,0.14959608292941626,0.6301606557765572,0.8246986939208235,0.8088275537967088,4.564488400000017,0.005689234449730074
abalon,Catboost,2,"{'learning_rate': 0.10329203987128538, 'max_depth': 7, 'n_estimators': 75}",0.6028708133971292,0.5596138429471763,0.16599542432875766,0.6023704002148805,0.8013184812902713,0.7931675811002877,3.2109727000000703,0.0076806220093521265
abalon,Catboost,3,"{'learning_rate': 0.0711033230434345, 'max_depth': 8, 'n_estimators': 225}",0.6196172248803827,0.5938188608776844,0.15567351384998446,0.6044921672372653,0.8372698328702773,0.8322995242136239,2.2550412000000506,0.006374162679324935
abalon,Catboost,4,"{'learning_rate': 0.278154534595799, 'max_depth': 5, 'n_estimators': 75}",0.6507177033492823,0.5803148988981941,0.13825931133370264,0.6456511398012502,0.8319741028903405,0.8239731440424561,1.2019216999999571,0.006568660287060531
abalon,Catboost,5,"{'learning_rate': 0.10804549799956523, 'max_depth': 6, 'n_estimators': 75}",0.6507177033492823,0.6024380744664278,0.14272255976181822,0.653368320572275,0.8230987432237562,0.8114310965045429,3.3012294000000115,0.007780861244174358
abalon,Catboost,6,"{'learning_rate': 0.26058714377984654, 'max_depth': 6, 'n_estimators': 75}",0.6244019138755981,0.2537593984962406,0.02459273182957393,0.6131457377623022,0.811656059007167,0.8031008958149197,0.7982918000000154,0.006110287081333878
abalon,Catboost,7,"{'learning_rate': 0.07827021191708378, 'max_depth': 8, 'n_estimators': 200}",0.6474820143884892,0.6147769392849723,0.15687712483985894,0.6474202428602793,0.8218581777338739,0.8096190392863051,3.1295245999999683,0.006710791367084539
abalon,Catboost,8,"{'learning_rate': 0.10828634713180538, 'max_depth': 6, 'n_estimators': 100}",0.6187050359712231,0.5708016263571819,0.1717390120167898,0.6016495713410901,0.7952158869999489,0.7611553326468773,3.1238636999999017,0.007078177458483648
abalon,Catboost,9,"{'learning_rate': 0.09920066127707532, 'max_depth': 5, 'n_estimators': 150}",0.6306954436450839,0.32175925925925924,0.028960529872938637,0.6188256510250181,0.8294102862319153,0.8268265787742579,0.8974782999998752,0.0057359712230708425
acute-inflammation,Catboost,0,"{'learning_rate': 0.24747808088988602, 'max_depth': 7, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.4571428571428572,0.63,0.24701349999986635,0.16347500000316964
acute-inflammation,Catboost,1,"{'learning_rate': 0.4608045209542849, 'max_depth': 5, 'n_estimators': 50}",1.0,1.0,0.0,1.0,0.5925925925925926,0.8567901234567901,0.2690132999998696,0.16386666665842614
acute-inflammation,Catboost,2,"{'learning_rate': 0.05161675327423905, 'max_depth': 5, 'n_estimators': 100}",1.0,1.0,0.0,1.0,0.7142857142857142,0.7687074829931972,0.2584340999999313,0.1518833333307157
acute-inflammation,Catboost,3,"{'learning_rate': 0.059917887555623286, 'max_depth': 7, 'n_estimators': 75}",1.0,1.0,0.0,1.0,0.5833333333333334,0.5541666666666667,0.10316439999996874,0.18088333333328896
acute-inflammation,Catboost,4,"{'learning_rate': 0.251978752285258, 'max_depth': 8, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.5428571428571428,0.7639249639249639,0.11360119999994822,0.16120000001743998
acute-inflammation,Catboost,5,"{'learning_rate': 0.40135075582726387, 'max_depth': 5, 'n_estimators': 150}",1.0,1.0,0.0,1.0,0.9142857142857144,0.8766666666666667,0.08458549999977549,0.15054166666080468
acute-inflammation,Catboost,6,"{'learning_rate': 0.3837035042145405, 'max_depth': 5, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.3428571428571428,0.5326839826839826,0.12116809999997713,0.1561833333122801
acute-inflammation,Catboost,7,"{'learning_rate': 0.014139788190339054, 'max_depth': 8, 'n_estimators': 100}",1.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.28197439999985363,0.15643333332112286
acute-inflammation,Catboost,8,"{'learning_rate': 0.01645968746254838, 'max_depth': 8, 'n_estimators': 50}",1.0,1.0,0.0,1.0,0.25925925925925924,0.2216931216931217,0.12205020000010335,0.1345166666624209
acute-inflammation,Catboost,9,"{'learning_rate': 0.3919791319151543, 'max_depth': 5, 'n_estimators': 150}",1.0,1.0,0.0,1.0,0.6,0.6345804988662131,0.2857828000001064,0.13626666664852868
acute-nephritis,Catboost,0,"{'learning_rate': 0.32266692240509137, 'max_depth': 5, 'n_estimators': 150}",1.0,1.0,0.0,1.0,0.1714285714285714,0.4566068851783137,0.13355010000032053,0.22215833333423995
acute-nephritis,Catboost,1,"{'learning_rate': 0.26896984580331695, 'max_depth': 7, 'n_estimators': 100}",1.0,1.0,0.0,1.0,0.5625,0.7205357142857143,0.2854459000000133,0.1499916666413507
acute-nephritis,Catboost,2,"{'learning_rate': 0.35039792084883725, 'max_depth': 5, 'n_estimators': 225}",1.0,1.0,0.0,1.0,0.08571428571428574,0.31796536796536795,0.14062990000002173,0.17751666666754318
acute-nephritis,Catboost,3,"{'learning_rate': 0.4925005196560945, 'max_depth': 6, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.125,0.2527146464646465,0.3125971000004029,0.18523333335451755
acute-nephritis,Catboost,4,"{'learning_rate': 0.22521218277089913, 'max_depth': 6, 'n_estimators': 225}",1.0,1.0,0.0,1.0,0.375,0.31666666666666665,0.09697239999968588,0.1538916666656102
acute-nephritis,Catboost,5,"{'learning_rate': 0.1605565003054823, 'max_depth': 6, 'n_estimators': 125}",1.0,1.0,0.0,1.0,0.4814814814814815,0.28968253968253965,0.07685650000030364,0.21364999997786072
acute-nephritis,Catboost,6,"{'learning_rate': 0.4925005196560945, 'max_depth': 5, 'n_estimators': 225}",1.0,1.0,0.0,1.0,0.3,0.17142857142857146,0.09210160000020552,0.14238333331680528
acute-nephritis,Catboost,7,"{'learning_rate': 0.256898537902905, 'max_depth': 7, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.5833333333333333,0.5981842231842232,0.29868100000021514,0.14152500000363946
acute-nephritis,Catboost,8,"{'learning_rate': 0.49675771529285406, 'max_depth': 6, 'n_estimators': 175}",1.0,1.0,0.0,1.0,0.4375,0.3381944444444444,0.280490699999973,0.2371333333333799
acute-nephritis,Catboost,9,"{'learning_rate': 0.35330450786446926, 'max_depth': 6, 'n_estimators': 50}",1.0,1.0,0.0,1.0,0.2285714285714285,0.4771696557410843,0.13956450000023324,0.1568166666553831
analcatdata_asbestos,Catboost,0,"{'learning_rate': 0.3815328267689941, 'max_depth': 6, 'n_estimators': 225}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.6944444444444445,0.4777777777777778,0.11496310000000065,0.194022222222164
analcatdata_asbestos,Catboost,1,"{'learning_rate': 0.2845995223456563, 'max_depth': 7, 'n_estimators': 100}",0.7777777777777778,0.8,0.2,0.6666666666666666,0.55,0.55,0.24620720000000063,0.2279111111091778
analcatdata_asbestos,Catboost,2,"{'learning_rate': 0.39823512839076447, 'max_depth': 7, 'n_estimators': 200}",0.8888888888888888,0.8333333333333333,0.16666666666666666,1.0,0.16666666666666666,0.273015873015873,0.29026980000000435,0.2140555555551297
analcatdata_asbestos,Catboost,3,"{'learning_rate': 0.011239754652987429, 'max_depth': 5, 'n_estimators': 50}",0.375,0.41666666666666663,0.5833333333333333,0.2,0.5,0.39285714285714285,0.9543812000000003,0.24677500000080954
analcatdata_asbestos,Catboost,4,"{'learning_rate': 0.09421706508431472, 'max_depth': 7, 'n_estimators': 175}",0.625,0.6333333333333333,0.3666666666666667,0.75,0.2666666666666667,0.5449999999999999,0.3090110999999638,0.22649999999657666
analcatdata_asbestos,Catboost,5,"{'learning_rate': 0.4612810468992961, 'max_depth': 6, 'n_estimators': 50}",0.75,0.8,0.2,0.6,0.5333333333333333,0.6095238095238096,1.0335991000000035,0.21286249999263873
analcatdata_asbestos,Catboost,6,"{'learning_rate': 0.278154534595799, 'max_depth': 5, 'n_estimators': 225}",0.875,0.9,0.1,1.0,0.0,0.46928571428571425,0.1346833999999717,0.25291250000236687
analcatdata_asbestos,Catboost,7,"{'learning_rate': 0.47029117142535803, 'max_depth': 5, 'n_estimators': 150}",0.875,0.9285714285714286,0.07142857142857142,0.5,0.5714285714285714,0.25,1.1735049999999774,0.2411999999907266
analcatdata_asbestos,Catboost,8,"{'learning_rate': 0.2329024974583645, 'max_depth': 5, 'n_estimators': 75}",0.875,0.875,0.125,0.8,0.25,0.44047619047619047,1.4529666999999336,0.24262499999849751
analcatdata_asbestos,Catboost,9,"{'learning_rate': 0.27585767987194915, 'max_depth': 8, 'n_estimators': 200}",0.75,0.8571428571428572,0.14285714285714285,1.0,0.42857142857142855,0.9093537414965986,2.6919835999999577,0.30091249999486536
analcatdata_boxing1,Catboost,0,"{'learning_rate': 0.11353996026632693, 'max_depth': 6, 'n_estimators': 100}",0.9166666666666666,0.95,0.05,1.0,0.5,0.7980122655122655,0.9676812000000155,0.14202500000237706
analcatdata_boxing1,Catboost,1,"{'learning_rate': 0.4913519828419259, 'max_depth': 5, 'n_estimators': 150}",0.5833333333333334,0.5,0.5,0.75,0.8888888888888888,0.9722222222222223,1.3044262999999319,0.21770833332842207
analcatdata_boxing1,Catboost,2,"{'learning_rate': 0.09421706508431472, 'max_depth': 7, 'n_estimators': 175}",0.6666666666666666,0.4444444444444444,0.5555555555555556,0.7272727272727273,0.6666666666666667,0.897530864197531,0.134432199999992,0.16686666666979968
analcatdata_boxing1,Catboost,3,"{'learning_rate': 0.08345786642535885, 'max_depth': 5, 'n_estimators': 175}",0.8333333333333334,0.75,0.25,0.8,0.71875,0.8763257575757576,0.1427017999999407,0.17865833333038003
analcatdata_boxing1,Catboost,4,"{'learning_rate': 0.04938848291783895, 'max_depth': 6, 'n_estimators': 100}",0.8333333333333334,0.75,0.25,0.8,0.8125,0.8755456349206349,1.0113980999999512,0.19241666666403034
analcatdata_boxing1,Catboost,5,"{'learning_rate': 0.45918460277620765, 'max_depth': 5, 'n_estimators': 175}",1.0,1.0,0.0,1.0,0.7407407407407407,0.9253086419753087,0.979407700000138,0.15760833332478796
analcatdata_boxing1,Catboost,6,"{'learning_rate': 0.4947810241423459, 'max_depth': 6, 'n_estimators': 50}",0.5833333333333334,0.5833333333333334,0.4166666666666667,0.5454545454545454,0.7500000000000001,0.7659090909090909,0.15436650000015106,0.16335833333869232
analcatdata_boxing1,Catboost,7,"{'learning_rate': 0.01645968746254838, 'max_depth': 8, 'n_estimators': 50}",0.75,0.75,0.25,0.6666666666666666,0.7222222222222222,0.7794011544011543,0.23559579999982816,0.21976666666508513
analcatdata_boxing1,Catboost,8,"{'learning_rate': 0.35330450786446926, 'max_depth': 6, 'n_estimators': 50}",0.6666666666666666,0.6,0.4,0.6363636363636364,0.8571428571428571,0.8954648526077098,0.13608210000006693,0.14060833334876102
analcatdata_boxing1,Catboost,9,"{'learning_rate': 0.4233428112787363, 'max_depth': 5, 'n_estimators': 200}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6,0.5833333333333334,0.6194444444444445,0.3359932000000754,0.18196666667336103
balance-scale,Catboost,0,"{'learning_rate': 0.27019836209828185, 'max_depth': 5, 'n_estimators': 225}",0.9047619047619048,0.36422136422136425,0.0,0.5935550935550936,0.9056046844224183,0.8011056054126403,0.09577699999999822,0.03020158729914184
balance-scale,Catboost,1,"{'learning_rate': 0.278154534595799, 'max_depth': 5, 'n_estimators': 225}",0.9047619047619048,0.3257142857142857,0.0,0.6011781011781011,0.905442574690695,0.7478540639540641,0.09590819999993982,0.03246349206886999
balance-scale,Catboost,2,"{'learning_rate': 0.29002717881518203, 'max_depth': 5, 'n_estimators': 225}",0.8412698412698413,0.2976190476190476,0.0,0.5604838709677419,0.8685581534787884,0.7786407907456218,0.11900939999986804,0.031134920629396913
balance-scale,Catboost,3,"{'learning_rate': 0.4956718035070624, 'max_depth': 5, 'n_estimators': 225}",0.9206349206349206,0.29830917874396135,0.0,0.6091228070175438,0.8729297257627726,0.7415976239715754,0.10911859999987428,0.033082539680941
balance-scale,Catboost,4,"{'learning_rate': 0.42493518459662954, 'max_depth': 5, 'n_estimators': 150}",0.9206349206349206,0.3146853146853147,0.0,0.611904761904762,0.8977305680695511,0.7884603792392131,0.10282370000004448,0.029255555560551344
balance-scale,Catboost,5,"{'learning_rate': 0.4608045209542849, 'max_depth': 5, 'n_estimators': 50}",0.9193548387096774,0.34761904761904755,0.0,0.6315789473684211,0.830129407794439,0.7028454602437265,0.10295320000022912,0.0634145161301046
balance-scale,Catboost,6,"{'learning_rate': 0.28303367400907586, 'max_depth': 5, 'n_estimators': 100}",0.9032258064516129,0.3602150537634408,0.0,0.603641456582633,0.9511160496344901,0.8122020855660085,0.641255099999853,0.18717419354816817
balance-scale,Catboost,7,"{'learning_rate': 0.4920494944428472, 'max_depth': 5, 'n_estimators': 225}",0.8064516129032258,0.20977011494252873,0.0,0.5375,0.8629491008854733,0.730720611093265,0.717039399999976,0.18918870967266435
balance-scale,Catboost,8,"{'learning_rate': 0.4608045209542849, 'max_depth': 5, 'n_estimators': 50}",0.7903225806451613,0.2738095238095238,0.005952380952380952,0.5270833333333333,0.8579598506069095,0.7375672821082379,0.6690270999997665,0.1728322580704351
balance-scale,Catboost,9,"{'learning_rate': 0.47029117142535803, 'max_depth': 5, 'n_estimators': 150}",0.8387096774193549,0.3622222222222222,0.0,0.5602240896358542,0.8197682910182911,0.7522968730096927,0.6281548000006296,0.19933387096487776
bank,Catboost,0,"{'learning_rate': 0.4984151774472226, 'max_depth': 5, 'n_estimators': 225}",0.8984547461368654,0.6642452830188679,0.3357547169811321,0.6129032258064516,0.09278301886792453,0.06512057618035655,5.4202666000001045,0.04057660044255272
bank,Catboost,1,"{'learning_rate': 0.35039792084883725, 'max_depth': 5, 'n_estimators': 225}",0.9004424778761062,0.6091346153846154,0.3908653846153846,0.7058823529411765,0.11995192307692307,0.06482766705210667,4.222276999999849,0.04447455752138535
bank,Catboost,2,"{'learning_rate': 0.41394216401164385, 'max_depth': 5, 'n_estimators': 225}",0.8915929203539823,0.6375961538461539,0.36240384615384613,0.5517241379310345,0.13153846153846152,0.06627193232319327,8.846376899999996,0.039175884956067074
bank,Catboost,3,"{'learning_rate': 0.01645968746254838, 'max_depth': 8, 'n_estimators': 50}",0.8871681415929203,0.6213432835820896,0.37865671641791043,0.4827586206896552,0.1034328358208955,0.062129686901427617,9.969623900000443,0.03747964601804589
bank,Catboost,4,"{'learning_rate': 0.4925005196560945, 'max_depth': 5, 'n_estimators': 225}",0.8982300884955752,0.6074802074802075,0.3925197925197925,0.4782608695652174,0.14507234507234504,0.05733763614380298,5.0263350999994145,0.031675000001948235
bank,Catboost,5,"{'learning_rate': 0.4982358794533171, 'max_depth': 5, 'n_estimators': 225}",0.8738938053097345,0.5885204081632653,0.4114795918367347,0.5714285714285714,0.1288690476190476,0.07555102424650098,1.9372892000010324,0.047484513272412085
bank,Catboost,6,"{'learning_rate': 0.41882067490181113, 'max_depth': 6, 'n_estimators': 225}",0.8938053097345132,0.7075730471079308,0.2924269528920692,0.7073170731707317,0.09683959451401311,0.08064587619586767,1.0537471999996342,0.04219535398143122
bank,Catboost,7,"{'learning_rate': 0.25370375697991643, 'max_depth': 5, 'n_estimators': 200}",0.9026548672566371,0.6773076923076923,0.3226923076923077,0.625,0.14615384615384613,0.06626840466223957,10.8050805999992,0.04130398230168729
bank,Catboost,8,"{'learning_rate': 0.37236223281005326, 'max_depth': 8, 'n_estimators': 225}",0.918141592920354,0.6942064681944742,0.3057935318055258,0.6551724137931034,0.11378239451702721,0.057445897308854056,6.1586555000012595,0.06049756637093301
bank,Catboost,9,"{'learning_rate': 0.4428244859166224, 'max_depth': 7, 'n_estimators': 200}",0.9269911504424779,0.7376847290640394,0.2623152709359606,0.696969696969697,0.08186977939601628,0.056363532331199596,2.660255499999039,0.03553207964622606
baseball,Catboost,0,"{'learning_rate': 0.20611387681422266, 'max_depth': 5, 'n_estimators': 75}",0.8955223880597015,0.5174501424501424,0.21901709401709402,0.5854626403406891,0.9483663721899016,0.7696387822457224,2.3766689999993105,0.11691044776975403
baseball,Catboost,1,"{'learning_rate': 0.47516829909450864, 'max_depth': 5, 'n_estimators': 175}",0.9552238805970149,0.5833333333333334,0.13333333333333333,0.6538461538461539,0.9819188365467436,0.8638006173424341,28.715628899997682,0.19237537314587988
baseball,Catboost,2,"{'learning_rate': 0.08708397441913615, 'max_depth': 8, 'n_estimators': 225}",0.9253731343283582,0.581791945428309,0.17994883903974812,0.8148148148148149,0.9674312507588053,0.8604576429628138,1.6072132000008423,0.15661044777353614
baseball,Catboost,3,"{'learning_rate': 0.09009602708297187, 'max_depth': 7, 'n_estimators': 200}",0.8880597014925373,0.5221288515406163,0.2389355742296919,0.6066666666666666,0.9228394808786229,0.7719601547426617,0.957788800002163,0.021814925357423125
baseball,Catboost,4,"{'learning_rate': 0.4428244859166224, 'max_depth': 7, 'n_estimators': 200}",0.9104477611940298,0.5511204481792716,0.22303921568627452,0.6623112659698025,0.9374660887977239,0.7913380481042278,1.8326856999992742,0.023344029858578065
baseball,Catboost,5,"{'learning_rate': 0.1583572902152075, 'max_depth': 7, 'n_estimators': 200}",0.9552238805970149,0.7476190476190476,0.1261904761904762,0.7592165898617512,0.9757813343890923,0.8142600151316973,0.7915970000030939,0.02081492537182561
baseball,Catboost,6,"{'learning_rate': 0.0711033230434345, 'max_depth': 8, 'n_estimators': 225}",0.9925373134328358,0.8333333333333334,0.08333333333333333,0.9974160206718347,0.9788115530303031,0.9006780681922208,0.4181469000031939,0.019320149245930823
baseball,Catboost,7,"{'learning_rate': 0.1605565003054823, 'max_depth': 6, 'n_estimators': 125}",0.917910447761194,0.5656707127295363,0.16946778711484592,0.6530054644808744,0.9584090608465609,0.7896427658835862,0.27730269999665325,0.026802985086027575
baseball,Catboost,8,"{'learning_rate': 0.03555358642094008, 'max_depth': 6, 'n_estimators': 225}",0.9328358208955224,0.7304131054131053,0.1347934472934473,0.8168044077134987,0.9409414996767937,0.8551019671043688,10.21108550000281,0.1588820895408593
baseball,Catboost,9,"{'learning_rate': 0.16087550489283214, 'max_depth': 8, 'n_estimators': 225}",0.9477611940298507,0.7115975422427034,0.14420122887864822,0.8228346456692913,0.9542088565880754,0.902302679179435,6.106669100001454,0.14666641789571896
blood,Catboost,0,"{'learning_rate': 0.48766181822798166, 'max_depth': 7, 'n_estimators': 225}",0.8266666666666667,0.6215880893300247,0.37841191066997515,0.5,0.26054590570719605,0.12409768072036585,1.107287400001951,0.16231999994488433
blood,Catboost,1,"{'learning_rate': 0.47820170297070963, 'max_depth': 8, 'n_estimators': 200}",0.8,0.6004056795131846,0.39959432048681537,0.6666666666666666,0.25862068965517243,0.16532452079941323,0.5317244000034407,0.14012400002684444
blood,Catboost,2,"{'learning_rate': 0.24784822168388995, 'max_depth': 5, 'n_estimators': 200}",0.8266666666666667,0.7178387650085764,0.28216123499142365,0.9090909090909091,0.14922813036020582,0.184253792370929,2.104845200003183,0.1630960000329651
blood,Catboost,3,"{'learning_rate': 0.49119524430433426, 'max_depth': 8, 'n_estimators': 225}",0.7866666666666666,0.6125760649087221,0.3874239350912779,0.5555555555555556,0.4148073022312373,0.1992597128601605,1.985564599999634,0.16760666670355326
blood,Catboost,4,"{'learning_rate': 0.494939321780482, 'max_depth': 5, 'n_estimators': 100}",0.7866666666666666,0.6626984126984127,0.3373015873015873,0.7272727272727273,0.27336860670194,0.20706604407536935,1.0904582000002847,0.1660173333948478
blood,Catboost,5,"{'learning_rate': 0.38992854562566237, 'max_depth': 8, 'n_estimators': 200}",0.8133333333333334,0.5853174603174602,0.41468253968253965,0.375,0.23809523809523814,0.1096372228659341,0.7631323000023258,0.14654266667397073
blood,Catboost,6,"{'learning_rate': 0.4987002700079183, 'max_depth': 8, 'n_estimators': 200}",0.8,0.6627789046653144,0.3372210953346856,0.5833333333333334,0.4503042596348884,0.23866315595710558,0.523150799999712,0.14238266662384072
blood,Catboost,7,"{'learning_rate': 0.2955412981112214, 'max_depth': 8, 'n_estimators': 200}",0.7466666666666667,0.6151960784313726,0.38480392156862747,0.8571428571428571,0.27736928104575165,0.23333856100981157,1.3068223000009311,0.13632266675510132
blood,Catboost,8,"{'learning_rate': 0.4428244859166224, 'max_depth': 7, 'n_estimators': 200}",0.7567567567567568,0.6433063791554358,0.35669362084456424,0.6153846153846154,0.26100628930817604,0.2001452081856632,1.3346052000051714,0.14810540537960273
blood,Catboost,9,"{'learning_rate': 0.4925005196560945, 'max_depth': 5, 'n_estimators': 225}",0.8378378378378378,0.6535714285714286,0.3464285714285715,0.625,0.24523809523809526,0.1974169796608037,1.8239124999963678,0.16638243244882245
bodyfat,Catboost,0,"{'learning_rate': 0.12890470177255728, 'max_depth': 5, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.5476190476190476,0.6356974488439979,1.3844970999998623,0.7787923076158711
bodyfat,Catboost,1,"{'learning_rate': 0.40322101382134207, 'max_depth': 7, 'n_estimators': 200}",1.0,1.0,0.0,1.0,0.15151515151515155,0.4206959654266156,1.5138948000021628,0.655400000071565
